"SM-SC-11","SM","scored",11,"backward_repetition","backward_repetition",6,3,7,1,"7 6 8 2 5 4 9","9 4 5 2 8 6 7","Di' i numeri al contrario: 7 6 8 2 5 4 9","9 4 5 2 8 6 7",1,"1 = dice esattamente ""9 4 5 2 8 6 7"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#1-ripetizione-a-ritroso","mock","draft"
"SM-SC-12","SM","scored",12,"backward_repetition","backward_repetition",6,3,7,2,"3 7 2 1 8 5 4","4 5 8 1 2 7 3","Di' i numeri al contrario: 3 7 2 1 8 5 4","4 5 8 1 2 7 3",1,"1 = dice esattamente ""4 5 8 1 2 7 3"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#1-ripetizione-a-ritroso","mock","draft"
"SM-SC-13","SM","scored",13,"rule_based_reordering","rule_based_reordering",1,-3,2,1,"5 1","1 5","Di' questi numeri dal piu piccolo al piu grande: 5 1","1 5",1,"1 = dice esattamente ""1 5"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#2-riordino-per-regola","mock","draft"
"SM-SC-14","SM","scored",14,"rule_based_reordering","rule_based_reordering",1,-3,2,2,"7 4","4 7","Di' questi numeri dal piu piccolo al piu grande: 7 4","4 7",1,"1 = dice esattamente ""4 7"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#2-riordino-per-regola","mock","draft"
"SM-SC-15","SM","scored",15,"rule_based_reordering","rule_based_reordering",2,-1.8,3,1,"7 5 9","5 7 9","Di' questi numeri dal piu piccolo al piu grande: 7 5 9","5 7 9",1,"1 = dice esattamente ""5 7 9"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#2-riordino-per-regola","mock","draft"
"SM-SC-16","SM","scored",16,"rule_based_reordering","rule_based_reordering",2,-1.8,3,2,"3 6 2","2 3 6","Di' questi numeri dal piu piccolo al piu grande: 3 6 2","2 3 6",1,"1 = dice esattamente ""2 3 6"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#2-riordino-per-regola","mock","draft"
"SM-SC-17","SM","scored",17,"rule_based_reordering","rule_based_reordering",3,-0.6,4,1,"2 7 6 4","2 4 6 7","Di' questi numeri dal piu piccolo al piu grande: 2 7 6 4","2 4 6 7",1,"1 = dice esattamente ""2 4 6 7"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#2-riordino-per-regola","mock","draft"
"SM-SC-18","SM","scored",18,"rule_based_reordering","rule_based_reordering",3,-0.6,4,2,"3 9 6 4","3 4 6 9","Di' questi numeri dal piu piccolo al piu grande: 3 9 6 4","3 4 6 9",1,"1 = dice esattamente ""3 4 6 9"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#2-riordino-per-regola","mock","draft"
"SM-SC-19","SM","scored",19,"rule_based_reordering","rule_based_reordering",4,0.6,5,1,"3 1 5 9 4","1 3 4 5 9","Di' questi numeri dal piu piccolo al piu grande: 3 1 5 9 4","1 3 4 5 9",1,"1 = dice esattamente ""1 3 4 5 9"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#2-riordino-per-regola","mock","draft"
"SM-SC-20","SM","scored",20,"rule_based_reordering","rule_based_reordering",4,0.6,5,2,"8 3 1 7 4","1 3 4 7 8","Di' questi numeri dal piu piccolo al piu grande: 8 3 1 7 4","1 3 4 7 8",1,"1 = dice esattamente ""1 3 4 7 8"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#2-riordino-per-regola","mock","draft"
"SM-SC-21","SM","scored",21,"rule_based_reordering","rule_based_reordering",5,1.8,6,1,"8 9 3 6 1 4","1 3 4 6 8 9","Di' questi numeri dal piu piccolo al piu grande: 8 9 3 6 1 4","1 3 4 6 8 9",1,"1 = dice esattamente ""1 3 4 6 8 9"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#2-riordino-per-regola","mock","draft"
"SM-SC-22","SM","scored",22,"rule_based_reordering","rule_based_reordering",5,1.8,6,2,"4 2 7 9 5 6","2 4 5 6 7 9","Di' questi numeri dal piu piccolo al piu grande: 4 2 7 9 5 6","2 4 5 6 7 9",1,"1 = dice esattamente ""2 4 5 6 7 9"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#2-riordino-per-regola","mock","draft"
"SM-SC-23","SM","scored",23,"rule_based_reordering","rule_based_reordering",6,3,7,1,"3 6 4 1 9 2 8","1 2 3 4 6 8 9","Di' questi numeri dal piu piccolo al piu grande: 3 6 4 1 9 2 8","1 2 3 4 6 8 9",1,"1 = dice esattamente ""1 2 3 4 6 8 9"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#2-riordino-per-regola","mock","draft"
"SM-SC-24","SM","scored",24,"rule_based_reordering","rule_based_reordering",6,3,7,2,"1 4 5 9 7 6 2","1 2 4 5 6 7 9","Di' questi numeri dal piu piccolo al piu grande: 1 4 5 9 7 6 2","1 2 4 5 6 7 9",1,"1 = dice esattamente ""1 2 4 5 6 7 9"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#2-riordino-per-regola","mock","draft"
"SM-SC-25","SM","scored",25,"running_span","running_span",1,-3,2,1,"1 3 6 8 5","8 5","Dimmi solo gli ultimi 2 numeri che ti ho detto: 1 3 6 8 5","8 5",1,"1 = dice esattamente ""8 5"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#3-span-aggiornato","mock","draft"
"SM-SC-26","SM","scored",26,"running_span","running_span",1,-3,2,2,"7 3 2 5 1","5 1","Dimmi solo gli ultimi 2 numeri che ti ho detto: 7 3 2 5 1","5 1",1,"1 = dice esattamente ""5 1"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#3-span-aggiornato","mock","draft"
"SM-SC-27","SM","scored",27,"running_span","running_span",2,-1.8,3,1,"4 3 7 5 2 8","5 2 8","Dimmi solo gli ultimi 3 numeri che ti ho detto: 4 3 7 5 2 8","5 2 8",1,"1 = dice esattamente ""5 2 8"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#3-span-aggiornato","mock","draft"
"SM-SC-28","SM","scored",28,"running_span","running_span",2,-1.8,3,2,"4 2 5 9 3 7","9 3 7","Dimmi solo gli ultimi 3 numeri che ti ho detto: 4 2 5 9 3 7","9 3 7",1,"1 = dice esattamente ""9 3 7"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#3-span-aggiornato","mock","draft"
"SM-SC-29","SM","scored",29,"running_span","running_span",3,-0.6,4,1,"3 9 1 8 7 2 6","8 7 2 6","Dimmi solo gli ultimi 4 numeri che ti ho detto: 3 9 1 8 7 2 6","8 7 2 6",1,"1 = dice esattamente ""8 7 2 6"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#3-span-aggiornato","mock","draft"
"SM-SC-30","SM","scored",30,"running_span","running_span",3,-0.6,4,2,"3 9 8 6 7 5 2","6 7 5 2","Dimmi solo gli ultimi 4 numeri che ti ho detto: 3 9 8 6 7 5 2","6 7 5 2",1,"1 = dice esattamente ""6 7 5 2"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#3-span-aggiornato","mock","draft"
"SM-SC-31","SM","scored",31,"running_span","running_span",4,0.6,5,1,"8 1 4 2 9 5 7 6","2 9 5 7 6","Dimmi solo gli ultimi 5 numeri che ti ho detto: 8 1 4 2 9 5 7 6","2 9 5 7 6",1,"1 = dice esattamente ""2 9 5 7 6"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#3-span-aggiornato","mock","draft"
"SM-SC-32","SM","scored",32,"running_span","running_span",4,0.6,5,2,"7 1 4 6 8 9 5 2","6 8 9 5 2","Dimmi solo gli ultimi 5 numeri che ti ho detto: 7 1 4 6 8 9 5 2","6 8 9 5 2",1,"1 = dice esattamente ""6 8 9 5 2"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#3-span-aggiornato","mock","draft"
"SM-SC-33","SM","scored",33,"running_span","running_span",5,1.8,6,1,"7 3 4 1 9 6 5 8 2","1 9 6 5 8 2","Dimmi solo gli ultimi 6 numeri che ti ho detto: 7 3 4 1 9 6 5 8 2","1 9 6 5 8 2",1,"1 = dice esattamente ""1 9 6 5 8 2"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#3-span-aggiornato","mock","draft"
"SM-SC-34","SM","scored",34,"running_span","running_span",5,1.8,6,2,"6 9 3 1 7 4 2 8 5","1 7 4 2 8 5","Dimmi solo gli ultimi 6 numeri che ti ho detto: 6 9 3 1 7 4 2 8 5","1 7 4 2 8 5",1,"1 = dice esattamente ""1 7 4 2 8 5"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#3-span-aggiornato","mock","draft"
"SM-SC-35","SM","scored",35,"running_span","running_span",6,3,7,1,"5 4 8 7 2 7 2 9 8 4","7 2 7 2 9 8 4","Dimmi solo gli ultimi 7 numeri che ti ho detto: 5 4 8 7 2 7 2 9 8 4","7 2 7 2 9 8 4",1,"1 = dice esattamente ""7 2 7 2 9 8 4"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#3-span-aggiornato","mock","draft"
"SM-SC-36","SM","scored",36,"running_span","running_span",6,3,7,2,"4 5 1 3 8 1 6 8 1 2","3 8 1 6 8 1 2","Dimmi solo gli ultimi 7 numeri che ti ho detto: 4 5 1 3 8 1 6 8 1 2","3 8 1 6 8 1 2",1,"1 = dice esattamente ""3 8 1 6 8 1 2"" nello stesso ordine; 0 = qualunque omissione, aggiunta, sostituzione o errore d'ordine.","items/rubrics/SM.md#3-span-aggiornato","mock","draft"
