item_id,subtest,item_type,order,family,difficulty_rank,difficulty_target,prompt,option_a,option_b,option_c,option_d,correct_answer,scoring_key,max_points,scoring_rubric,distractor_rationale,rubric_ref,source_status,review_status
RS-SC-12,RS,scored,11,category_exclusion,11,-0.4,"Quale parola non appartiene al gruppo?",quercia,edera,pino,betulla,B,"edera",1,"1 = B; 0 = altra risposta.","A/C/D = alberi con tronco proprio; B = pianta rampicante che si appoggia ad altri sostegni.",items/rubrics/RS.md#chiave-rapida,mock,draft
RS-SC-13,RS,scored,12,part_whole,12,-0.2,"Strofa sta a poesia come capitolo sta a...",titolo,biblioteca,autore,romanzo,D,"romanzo",1,"1 = D; 0 = altra risposta.","A = elemento del testo ma non il tutto; B = luogo che contiene libri; C = chi lo scrive.",items/rubrics/RS.md#chiave-rapida,mock,draft
RS-SC-14,RS,scored,13,function,13,0.0,"Un archivio serve principalmente per...",conservare documenti in modo ordinato,produrre documenti nuovi,tradurre documenti,consegnare documenti,A,"conservare documenti in modo ordinato",1,"1 = A; 0 = altra risposta.","B/C/D = operazioni che si possono fare sui documenti ma che non definiscono l'archivio.",items/rubrics/RS.md#chiave-rapida,mock,draft
RS-SC-15,RS,scored,14,opposition,14,0.2,"La parola espandersi è l'opposto di...",crescere,contrarsi,muoversi,salire,B,"contrarsi",1,"1 = B; 0 = altra risposta.","A = quasi sinonimo; C/D = movimenti che non riguardano il cambiamento di dimensione.",items/rubrics/RS.md#chiave-rapida,mock,draft
RS-SC-16,RS,scored,15,development,15,0.4,"Bruco sta a farfalla come girino sta a...",pesce,stagno,rana,uovo,C,"rana",1,"1 = C; 0 = altra risposta.","A = animale acquatico simile ma non l'esito dello sviluppo; B = ambiente; D = fase precedente.",items/rubrics/RS.md#chiave-rapida,mock,draft
RS-SC-17,RS,scored,16,category_exclusion,16,0.6,"Quale parola non appartiene al gruppo?",gioia,tristezza,rabbia,memoria,D,"memoria",1,"1 = D; 0 = altra risposta.","A/B/C = emozioni; D = processo cognitivo.",items/rubrics/RS.md#chiave-rapida,mock,draft
RS-SC-18,RS,scored,17,analogy_function,17,0.8,"Gli occhiali stanno alla vista come l'apparecchio acustico sta a...",udito,voce,equilibrio,memoria,A,"udito",1,"1 = A; 0 = altra risposta.","B = funzione prodotta, non sostenuta dall'apparecchio; C/D = funzioni che l'apparecchio non corregge.",items/rubrics/RS.md#chiave-rapida,mock,draft
RS-SC-06,RS,scored,18,opposition,18,1.0,"Provvisorio sta a definitivo come superficiale sta a...",veloce,profondo,semplice,visibile,B,"profondo",1,"1 = B; 0 = altra risposta.","A/C/D possono descrivere un esame o un lavoro ma non sono l'opposto semantico richiesto.",items/rubrics/RS.md#chiave-rapida,mock,draft
RS-SC-19,RS,scored,19,part_whole,19,1.2,"Premessa sta a ragionamento come fondamenta stanno a...",cantiere,progetto,operaio,edificio,D,"edificio",1,"1 = D; 0 = altra risposta.","A = luogo dei lavori; B = rappresentazione anticipata; C = chi costruisce; solo D è il tutto di cui le fondamenta sono la parte iniziale.",items/rubrics/RS.md#chiave-rapida,mock,draft
RS-SC-20,RS,scored,20,category_exclusion,20,1.4,"Quale parola non appartiene al gruppo?",ipotesi,certezza,congettura,supposizione,B,"certezza",1,"1 = B; 0 = altra risposta.","A/C/D = affermazioni ancora da verificare; B = affermazione già considerata verificata.",items/rubrics/RS.md#chiave-rapida,mock,draft
RS-SC-21,RS,scored,21,development,21,1.6,"Bozza sta a testo definitivo come prototipo sta a...",disegno,modello,prodotto finito,officina,C,"prodotto finito",1,"1 = C; 0 = altra risposta.","A/B = rappresentazioni ancora provvisorie, come il prototipo stesso; D = luogo di produzione.",items/rubrics/RS.md#chiave-rapida,mock,draft
RS-SC-22,RS,scored,22,analogy_function,22,1.8,"Il termostato regola la temperatura come il moderatore regola...",la discussione,il rumore,il tempo,la temperatura,A,"la discussione",1,"1 = A; 0 = altra risposta.","B = effetto possibile ma non l'oggetto regolato; C/D = oggetti regolati da altri dispositivi.",items/rubrics/RS.md#chiave-rapida,mock,draft
RS-SC-23,RS,scored,23,opposition,23,2.0,"Esplicito sta a implicito come manifesto sta a...",evidente,pubblico,visibile,latente,D,"latente",1,"1 = D; 0 = altra risposta.","A/B/C = quasi sinonimi di manifesto; solo D ne è l'opposto, come implicito lo è di esplicito.",items/rubrics/RS.md#chiave-rapida,mock,draft
RS-SC-24,RS,scored,24,category_exclusion,24,2.2,"Quale parola non appartiene al gruppo?",definizione,analogia,metafora,similitudine,A,"definizione",1,"1 = A; 0 = altra risposta.","B/C/D = accostamenti fra cose diverse usati per far capire qualcosa; A = enunciato che fissa il significato di un termine.",items/rubrics/RS.md#chiave-rapida,mock,draft
